domain,price,currency,date,source,venue,tld
nfts.com,2000000,USD,2022-12-31,dnjournal_ytd,,com
rocket.com,2000000,USD,2024-12-31,dnjournal_ytd,,com
connect.com,2000000,USD,2022-12-31,dnjournal_ytd,,com
gold.com,2000000,USD,2024-12-31,dnjournal_ytd,,com
it.com,2000000,USD,2022-12-31,dnjournal_ytd,,com
hippo.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
christmas.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
floor.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
help.com,2000000,USD,2023-12-31,dnjournal_ytd,,com
marketing.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
forge.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
angel.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
afs.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
nft.com,2000000,USD,2021-12-31,dnjournal_ytd,,com
is.com,1950000,USD,2021-12-31,dnjournal_ytd,,com
exodus.com,1945000,USD,2021-12-31,dnjournal_ytd,,com
galaxy.com,1800000,USD,2022-12-31,dnjournal_ytd,,com
call.com,1600000,USD,2022-12-31,dnjournal_ytd,,com
chill.com,1600000,USD,2022-12-31,dnjournal_ytd,,com
gems.com,1500000,USD,2022-12-31,dnjournal_ytd,,com
room.com,1500000,USD,2023-12-31,dnjournal_ytd,,com
hurt.com,1500000,USD,2023-12-31,dnjournal_ytd,,com
ee.com,1350000,USD,2021-12-31,dnjournal_ytd,,com
meme.com,1250000,USD,2021-12-31,dnjournal_ytd,,com
unlock.com,1228200,USD,2022-12-31,dnjournal_ytd,,com
tp.com,1200000,USD,2024-12-31,dnjournal_ytd,,com
ballet.com,1160230,USD,2022-12-31,dnjournal_ytd,,com
near.com,1150000,USD,2021-12-31,dnjournal_ytd,,com
bullish.com,1080000,USD,2020-12-31,dnjournal_ytd,,com
stable.com,1008925,USD,2022-12-31,dnjournal_ytd,,com
ebike.com,1008900,USD,2021-12-31,dnjournal_ytd,,com
koko.com,1000000,USD,2024-12-31,dnjournal_ytd,,com
selfmade.com,977500,USD,2021-12-31,dnjournal_ytd,,com
biontech.com,950000,USD,2022-12-31,dnjournal_ytd,,com
recursion.com,904000,USD,2021-12-31,dnjournal_ytd,,com
gobet.com,850000,USD,2021-12-31,dnjournal_ytd,,com
tattoo.com,812000,USD,2021-12-31,dnjournal_ytd,,com
bankfirst.com,800000,USD,2022-12-31,dnjournal_ytd,,com
ava.com,792000,USD,2021-12-31,dnjournal_ytd,,com
poker.net,750000,USD,2021-12-31,dnjournal_ytd,,net
nas.com,720000,USD,2020-12-31,dnjournal_ytd,,com
you.ai,700000,USD,2023-12-31,dnjournal_ytd,,ai
livewire.com,632500,USD,2021-12-31,dnjournal_ytd,,com
iz.com,625000,USD,2021-12-31,dnjournal_ytd,,com
socrates.com,600000,USD,2023-12-31,dnjournal_ytd,,com
yachts.com,600000,USD,2022-12-31,dnjournal_ytd,,com
zerocarbon.com,600000,USD,2021-12-31,dnjournal_ytd,,com
ecl.com,600000,USD,2023-12-31,dnjournal_ytd,,com
iw.com,570000,USD,2022-12-31,dnjournal_ytd,,com
oa.com,554000,USD,2020-12-31,dnjournal_ytd,,com
lender.com,550000,USD,2021-12-31,dnjournal_ytd,,com
rural.com,550000,USD,2024-12-31,dnjournal_ytd,,com
continue.com,550000,USD,2024-12-31,dnjournal_ytd,,com
gcp.com,550000,USD,2022-12-31,dnjournal_ytd,,com
wolf.com,550000,USD,2021-12-31,dnjournal_ytd,,com
able.com,542500,USD,2021-12-31,dnjournal_ytd,,com
tradezero.com,540000,USD,2022-12-31,dnjournal_ytd,,com
blade.com,503000,USD,2021-12-31,dnjournal_ytd,,com
bagels.com,500000,USD,2024-12-31,dnjournal_ytd,,com
rebates.com,500000,USD,2022-12-31,dnjournal_ytd,,com
rebate.com,500000,USD,2022-12-31,dnjournal_ytd,,com
lnw.com,475000,USD,2022-12-31,dnjournal_ytd,,com
nif.com,450000,USD,2021-12-31,dnjournal_ytd,,com
employer.com,450000,USD,2024-12-31,dnjournal_ytd,,com
gosh.com,450000,USD,2024-12-31,dnjournal_ytd,,com
zag.com,450000,USD,2021-12-31,dnjournal_ytd,,com
egt.com,450000,USD,2021-12-31,dnjournal_ytd,,com
pfa.com,450000,USD,2023-12-31,dnjournal_ytd,,com
james.com,440000,USD,2021-12-31,dnjournal_ytd,,com
betcalifornia.com,425000,USD,2022-12-31,dnjournal_ytd,,com
151.com,415000,USD,2020-12-31,dnjournal_ytd,,com
solutions.com,415000,USD,2024-12-31,dnjournal_ytd,,com
snappy.com,415000,USD,2021-12-31,dnjournal_ytd,,com
asap.com,404600,USD,2024-12-31,dnjournal_ytd,,com
betting.online,400000,USD,2023-12-31,dnjournal_ytd,,online
peace.com,400000,USD,2024-12-31,dnjournal_ytd,,com
ingles.com,400000,USD,2020-12-31,dnjournal_ytd,,com
giveaway.com,400000,USD,2023-12-31,dnjournal_ytd,,com
overview.com,400000,USD,2021-12-31,dnjournal_ytd,,com
oov.com,400000,USD,2024-12-31,dnjournal_ytd,,com
fta.com,400000,USD,2021-12-31,dnjournal_ytd,,com
worldclass.com,400000,USD,2021-12-31,dnjournal_ytd,,com
boatsforsale.com,396769,USD,2020-12-31,dnjournal_ytd,,com
steam.com,390560,USD,2021-12-31,dnjournal_ytd,,com
tophotels.com,380000,USD,2023-12-31,dnjournal_ytd,,com
tbc.com,375000,USD,2021-12-31,dnjournal_ytd,,com
ddl.com,359000,USD,2022-12-31,dnjournal_ytd,,com
pfp.com,353000,USD,2023-12-31,dnjournal_ytd,,com
exclusive.com,350000,USD,2021-12-31,dnjournal_ytd,,com
babyandbeyond.com,350000,USD,2024-12-31,dnjournal_ytd,,com
arizona.com,350000,USD,2021-12-31,dnjournal_ytd,,com
velvet.com,350000,USD,2021-12-31,dnjournal_ytd,,com
bico.com,350000,USD,2021-12-31,dnjournal_ytd,,com
wwi.com,350000,USD,2024-12-31,dnjournal_ytd,,com
portugal.com,350000,USD,2021-12-31,dnjournal_ytd,,com
grt.com,336600,USD,2022-12-31,dnjournal_ytd,,com
monero.com,316250,USD,2021-12-31,dnjournal_ytd,,com
palace.com,306000,USD,2020-12-31,dnjournal_ytd,,com
tactic.com,303295,USD,2023-12-31,dnjournal_ytd,,com
pose.com,302670,USD,2024-12-31,dnjournal_ytd,,com
eth.co,300000,USD,2021-12-31,dnjournal_ytd,,co
fsl.com,300000,USD,2024-12-31,dnjournal_ytd,,com
cancel.com,300000,USD,2024-12-31,dnjournal_ytd,,com
binance.ae,300000,USD,2021-12-31,dnjournal_ytd,,ae
oet.com,300000,USD,2022-12-31,dnjournal_ytd,,com
yourride.com,300000,USD,2023-12-31,dnjournal_ytd,,com
vegetarian.com,300000,USD,2023-12-31,dnjournal_ytd,,com
txt.com,300000,USD,2023-12-31,dnjournal_ytd,,com
badger.com,300000,USD,2021-12-31,dnjournal_ytd,,com
maxima.com,295000,USD,2021-12-31,dnjournal_ytd,,com
mortgagebroker.com.au,295000,USD,2024-12-31,dnjournal_ytd,,au
trill.com,289000,USD,2024-12-31,dnjournal_ytd,,com
bowman.com,281000,USD,2021-12-31,dnjournal_ytd,,com
weshare.com,280000,USD,2021-12-31,dnjournal_ytd,,com
kick.com,276077,USD,2020-12-31,dnjournal_ytd,,com
galatea.com,275000,USD,2024-12-31,dnjournal_ytd,,com
skywin.com,275000,USD,2023-12-31,dnjournal_ytd,,com
plans.com,275000,USD,2023-12-31,dnjournal_ytd,,com
girlfriend.ai,274610,USD,2024-12-31,dnjournal_ytd,,ai
important.com,270000,USD,2021-12-31,dnjournal_ytd,,com
canadian.com,269000,USD,2021-12-31,dnjournal_ytd,,com
ipl.com,265000,USD,2024-12-31,dnjournal_ytd,,com
results.com,264000,USD,2020-12-31,dnjournal_ytd,,com
cognitiveautomation.com,260000,USD,2022-12-31,dnjournal_ytd,,com
hdl.com,260000,USD,2023-12-31,dnjournal_ytd,,com
stack.ai,258888,USD,2023-12-31,dnjournal_ytd,,ai
z.org,257000,USD,2022-12-31,dnjournal_ytd,,org
npc.ai,250000,USD,2023-12-31,dnjournal_ytd,,ai
bobber.com,250000,USD,2022-12-31,dnjournal_ytd,,com
laura.com,250000,USD,2022-12-31,dnjournal_ytd,,com
whiskey.com,250000,USD,2023-12-31,dnjournal_ytd,,com
plunge.com,250000,USD,2023-12-31,dnjournal_ytd,,com
onyx.com,250000,USD,2023-12-31,dnjournal_ytd,,com
laced.com,250000,USD,2021-12-31,dnjournal_ytd,,com
followup.com,250000,USD,2021-12-31,dnjournal_ytd,,com
sound.ai,250000,USD,2024-12-31,dnjournal_ytd,,ai
madeiniran.com,250000,USD,2024-12-31,dnjournal_ytd,,com
acquire.com,240020,USD,2022-12-31,dnjournal_ytd,,com
betz.com,240000,USD,2024-12-31,dnjournal_ytd,,com
ala.com,234000,USD,2024-12-31,dnjournal_ytd,,com
mint.io,230000,USD,2021-12-31,dnjournal_ytd,,io
timely.com,228825,USD,2024-12-31,dnjournal_ytd,,com
kindness.com,227002,USD,2022-12-31,dnjournal_ytd,,com
picture.com,225000,USD,2020-12-31,dnjournal_ytd,,com
humanity.org,225000,USD,2024-12-31,dnjournal_ytd,,org
patience.com,221780,USD,2022-12-31,dnjournal_ytd,,com
triple.com,220000,USD,2021-12-31,dnjournal_ytd,,com
gbr.com,206850,USD,2022-12-31,dnjournal_ytd,,com
cybersecurityjobs.com,205000,USD,2022-12-31,dnjournal_ytd,,com
free.co.uk,205000,USD,2020-12-31,dnjournal_ytd,,uk
fiasco.com,203500,USD,2023-12-31,dnjournal_ytd,,com
airplay.com,202000,USD,2023-12-31,dnjournal_ytd,,com
believe.com,200915,USD,2020-12-31,dnjournal_ytd,,com
shop.app,200000,USD,2020-12-31,dnjournal_ytd,,app
aoa.com,200000,USD,2020-12-31,dnjournal_ytd,,com
please.ai,200000,USD,2024-12-31,dnjournal_ytd,,ai
casino.bet,200000,USD,2024-12-31,dnjournal_ytd,,bet
yae.com,200000,USD,2022-12-31,dnjournal_ytd,,com
